name,agents_average_initial_opinion,technology_success_rate,final_adaption
0_0_0,-1.0,0.0,0.0
1_0_0,-1.0,0.0,0.0
2_0_0,-1.0,0.0,0.0
3_0_0,-1.0,0.0,0.0
4_0_0,-1.0,0.0,0.0
0_0_1,-1.0,0.1,0.0
1_0_1,-1.0,0.1,0.0
2_0_1,-1.0,0.1,0.0
3_0_1,-1.0,0.1,0.0
4_0_1,-1.0,0.1,0.0
0_0_2,-1.0,0.2,0.0
1_0_2,-1.0,0.2,0.0
2_0_2,-1.0,0.2,0.0
3_0_2,-1.0,0.2,0.0
4_0_2,-1.0,0.2,0.0
0_0_3,-1.0,0.3,0.0
1_0_3,-1.0,0.3,0.0
2_0_3,-1.0,0.3,0.0
3_0_3,-1.0,0.3,0.0
4_0_3,-1.0,0.3,0.0
0_0_4,-1.0,0.4,0.0
1_0_4,-1.0,0.4,0.0
2_0_4,-1.0,0.4,0.0
3_0_4,-1.0,0.4,0.0
4_0_4,-1.0,0.4,0.0
0_0_5,-1.0,0.5,0.0
1_0_5,-1.0,0.5,0.0
2_0_5,-1.0,0.5,0.0
3_0_5,-1.0,0.5,0.0
4_0_5,-1.0,0.5,0.0
0_0_6,-1.0,0.6,0.0
1_0_6,-1.0,0.6,0.0
2_0_6,-1.0,0.6,0.0
3_0_6,-1.0,0.6,0.0
4_0_6,-1.0,0.6,0.0
0_0_7,-1.0,0.7,0.0
1_0_7,-1.0,0.7,0.0
2_0_7,-1.0,0.7,0.0
3_0_7,-1.0,0.7,0.0
4_0_7,-1.0,0.7,0.0
0_0_8,-1.0,0.8,0.0
1_0_8,-1.0,0.8,0.0
2_0_8,-1.0,0.8,0.0
3_0_8,-1.0,0.8,0.0
4_0_8,-1.0,0.8,0.0
0_0_9,-1.0,0.9,0.0
1_0_9,-1.0,0.9,0.0
2_0_9,-1.0,0.9,0.0
3_0_9,-1.0,0.9,0.0
4_0_9,-1.0,0.9,0.0
0_0_10,-1.0,1.0,0.0
1_0_10,-1.0,1.0,0.0
2_0_10,-1.0,1.0,0.0
3_0_10,-1.0,1.0,0.0
4_0_10,-1.0,1.0,0.0
0_1_0,-0.9,0.0,0.0
1_1_0,-0.9,0.0,0.0
2_1_0,-0.9,0.0,0.0
3_1_0,-0.9,0.0,0.0
4_1_0,-0.9,0.0,0.0
0_1_1,-0.9,0.1,0.0
1_1_1,-0.9,0.1,0.0
2_1_1,-0.9,0.1,0.0
3_1_1,-0.9,0.1,0.0
4_1_1,-0.9,0.1,0.0
0_1_2,-0.9,0.2,0.0
1_1_2,-0.9,0.2,0.0
2_1_2,-0.9,0.2,0.0
3_1_2,-0.9,0.2,0.0
4_1_2,-0.9,0.2,0.0
0_1_3,-0.9,0.3,0.0
1_1_3,-0.9,0.3,0.0
2_1_3,-0.9,0.3,0.0
3_1_3,-0.9,0.3,0.0
4_1_3,-0.9,0.3,0.0
0_1_4,-0.9,0.4,0.0
1_1_4,-0.9,0.4,0.0
2_1_4,-0.9,0.4,0.0
3_1_4,-0.9,0.4,0.0
4_1_4,-0.9,0.4,0.0
0_1_5,-0.9,0.5,0.0
1_1_5,-0.9,0.5,0.0
2_1_5,-0.9,0.5,0.0
3_1_5,-0.9,0.5,0.0
4_1_5,-0.9,0.5,0.0
0_1_6,-0.9,0.6,0.0
1_1_6,-0.9,0.6,0.0
2_1_6,-0.9,0.6,0.0
3_1_6,-0.9,0.6,0.0
4_1_6,-0.9,0.6,0.0
0_1_7,-0.9,0.7,0.0
1_1_7,-0.9,0.7,0.0
2_1_7,-0.9,0.7,0.0
3_1_7,-0.9,0.7,0.0
4_1_7,-0.9,0.7,0.0
0_1_8,-0.9,0.8,0.0
1_1_8,-0.9,0.8,0.0
2_1_8,-0.9,0.8,0.0
3_1_8,-0.9,0.8,0.0
4_1_8,-0.9,0.8,0.0
0_1_9,-0.9,0.9,0.0
1_1_9,-0.9,0.9,0.0
2_1_9,-0.9,0.9,0.0
3_1_9,-0.9,0.9,0.0
4_1_9,-0.9,0.9,0.0
0_1_10,-0.9,1.0,0.0
1_1_10,-0.9,1.0,0.0
2_1_10,-0.9,1.0,0.0
3_1_10,-0.9,1.0,0.0
4_1_10,-0.9,1.0,0.0
0_2_0,-0.8,0.0,0.0
1_2_0,-0.8,0.0,0.0
2_2_0,-0.8,0.0,0.0
3_2_0,-0.8,0.0,0.0
4_2_0,-0.8,0.0,0.0
0_2_1,-0.8,0.1,0.0
1_2_1,-0.8,0.1,0.0
2_2_1,-0.8,0.1,0.0
3_2_1,-0.8,0.1,0.0
4_2_1,-0.8,0.1,0.0
0_2_2,-0.8,0.2,0.0
1_2_2,-0.8,0.2,0.0
2_2_2,-0.8,0.2,0.0
3_2_2,-0.8,0.2,0.0
4_2_2,-0.8,0.2,0.0
0_2_3,-0.8,0.3,0.0
1_2_3,-0.8,0.3,0.0
2_2_3,-0.8,0.3,0.0
3_2_3,-0.8,0.3,0.0
4_2_3,-0.8,0.3,0.0
0_2_4,-0.8,0.4,0.0
1_2_4,-0.8,0.4,0.0
2_2_4,-0.8,0.4,0.0
3_2_4,-0.8,0.4,0.0
4_2_4,-0.8,0.4,0.0
0_2_5,-0.8,0.5,0.0
1_2_5,-0.8,0.5,0.0
2_2_5,-0.8,0.5,0.0
3_2_5,-0.8,0.5,0.0
4_2_5,-0.8,0.5,0.0
0_2_6,-0.8,0.6,0.0
1_2_6,-0.8,0.6,0.0
2_2_6,-0.8,0.6,0.0
3_2_6,-0.8,0.6,0.0
4_2_6,-0.8,0.6,0.0
0_2_7,-0.8,0.7,0.0
1_2_7,-0.8,0.7,0.0
2_2_7,-0.8,0.7,0.0
3_2_7,-0.8,0.7,0.0
4_2_7,-0.8,0.7,0.0
0_2_8,-0.8,0.8,0.0
1_2_8,-0.8,0.8,0.0
2_2_8,-0.8,0.8,0.0
3_2_8,-0.8,0.8,0.0
4_2_8,-0.8,0.8,0.0
0_2_9,-0.8,0.9,0.0
1_2_9,-0.8,0.9,0.0
2_2_9,-0.8,0.9,0.0
3_2_9,-0.8,0.9,0.0
4_2_9,-0.8,0.9,0.0
0_2_10,-0.8,1.0,0.0
1_2_10,-0.8,1.0,0.0
2_2_10,-0.8,1.0,0.0
3_2_10,-0.8,1.0,0.0
4_2_10,-0.8,1.0,0.0
0_3_0,-0.7,0.0,0.0
1_3_0,-0.7,0.0,0.0
2_3_0,-0.7,0.0,0.0
3_3_0,-0.7,0.0,0.0
4_3_0,-0.7,0.0,0.019164346047521475
0_3_1,-0.7,0.1,0.0
1_3_1,-0.7,0.1,0.0
2_3_1,-0.7,0.1,0.0
3_3_1,-0.7,0.1,0.0
4_3_1,-0.7,0.1,0.019164346047521475
0_3_2,-0.7,0.2,0.0
1_3_2,-0.7,0.2,0.0
2_3_2,-0.7,0.2,0.0
3_3_2,-0.7,0.2,0.0
4_3_2,-0.7,0.2,0.019164346047521475
0_3_3,-0.7,0.3,0.0
1_3_3,-0.7,0.3,0.0
2_3_3,-0.7,0.3,0.0
3_3_3,-0.7,0.3,0.0
4_3_3,-0.7,0.3,0.019164346047521475
0_3_4,-0.7,0.4,0.0
1_3_4,-0.7,0.4,0.0
2_3_4,-0.7,0.4,0.0
3_3_4,-0.7,0.4,0.0
4_3_4,-0.7,0.4,0.019164346047521475
0_3_5,-0.7,0.5,0.0
1_3_5,-0.7,0.5,0.0
2_3_5,-0.7,0.5,0.0
3_3_5,-0.7,0.5,0.0
4_3_5,-0.7,0.5,0.019164346047521475
0_3_6,-0.7,0.6,0.0
1_3_6,-0.7,0.6,0.0
2_3_6,-0.7,0.6,0.0
3_3_6,-0.7,0.6,0.0
4_3_6,-0.7,0.6,0.019164346047521475
0_3_7,-0.7,0.7,0.0
1_3_7,-0.7,0.7,0.0
2_3_7,-0.7,0.7,0.0
3_3_7,-0.7,0.7,0.0
4_3_7,-0.7,0.7,0.019164346047521475
0_3_8,-0.7,0.8,0.0
1_3_8,-0.7,0.8,0.0
2_3_8,-0.7,0.8,0.0
3_3_8,-0.7,0.8,0.0
4_3_8,-0.7,0.8,0.019164346047521475
0_3_9,-0.7,0.9,0.0
1_3_9,-0.7,0.9,0.0
2_3_9,-0.7,0.9,0.0
3_3_9,-0.7,0.9,0.0
4_3_9,-0.7,0.9,0.019164346047521475
0_3_10,-0.7,1.0,0.0
1_3_10,-0.7,1.0,0.0
2_3_10,-0.7,1.0,0.0
3_3_10,-0.7,1.0,0.0
4_3_10,-0.7,1.0,0.019164346047521475
0_4_0,-0.6,0.0,0.005500156422598179
1_4_0,-0.6,0.0,0.0
2_4_0,-0.6,0.0,0.005500156422598179
3_4_0,-0.6,0.0,0.029974537288473078
4_4_0,-0.6,0.0,0.04719777281302695
0_4_1,-0.6,0.1,0.005500156422598179
1_4_1,-0.6,0.1,0.0
2_4_1,-0.6,0.1,0.005500156422598179
3_4_1,-0.6,0.1,0.029974537288473078
4_4_1,-0.6,0.1,0.04719777281302695
0_4_2,-0.6,0.2,0.005500156422598179
1_4_2,-0.6,0.2,0.0
2_4_2,-0.6,0.2,0.005500156422598179
3_4_2,-0.6,0.2,0.029974537288473078
4_4_2,-0.6,0.2,0.04719777281302695
0_4_3,-0.6,0.3,0.005500156422598179
1_4_3,-0.6,0.3,0.0
2_4_3,-0.6,0.3,0.005500156422598179
3_4_3,-0.6,0.3,0.029974537288473078
4_4_3,-0.6,0.3,0.04719777281302695
0_4_4,-0.6,0.4,0.005500156422598179
1_4_4,-0.6,0.4,0.0
2_4_4,-0.6,0.4,0.005500156422598179
3_4_4,-0.6,0.4,0.029974537288473078
4_4_4,-0.6,0.4,0.04719777281302695
0_4_5,-0.6,0.5,0.005500156422598179
1_4_5,-0.6,0.5,0.0
2_4_5,-0.6,0.5,0.005500156422598179
3_4_5,-0.6,0.5,0.029974537288473078
4_4_5,-0.6,0.5,0.04822445078567605
0_4_6,-0.6,0.6,0.005500156422598179
1_4_6,-0.6,0.6,0.0
2_4_6,-0.6,0.6,0.005500156422598179
3_4_6,-0.6,0.6,0.029974537288473078
4_4_6,-0.6,0.6,0.04822445078567605
0_4_7,-0.6,0.7,0.005500156422598179
1_4_7,-0.6,0.7,0.0
2_4_7,-0.6,0.7,0.005500156422598179
3_4_7,-0.6,0.7,0.029974537288473078
4_4_7,-0.6,0.7,0.04822445078567605
0_4_8,-0.6,0.8,0.005500156422598179
1_4_8,-0.6,0.8,0.0
2_4_8,-0.6,0.8,0.005500156422598179
3_4_8,-0.6,0.8,0.029974537288473078
4_4_8,-0.6,0.8,0.04822445078567605
0_4_9,-0.6,0.9,0.005500156422598179
1_4_9,-0.6,0.9,0.0
2_4_9,-0.6,0.9,0.005500156422598179
3_4_9,-0.6,0.9,0.029974537288473078
4_4_9,-0.6,0.9,0.04822445078567605
0_4_10,-0.6,1.0,0.005500156422598179
1_4_10,-0.6,1.0,0.0
